Control_ID,Control_Name,Verification_Procedure,Evidence_Required,Pass_Fail,Remediation_Steps,Responsible_Party,Sign-off_Date
SANDBOX-04,No new privileges,"grep 'no-new-privileges:true' /etc/hermes/config.yaml",Config file screenshot,,Add no-new-privileges to security_opt,DevOps Engineer,
SANDBOX-05,All capabilities dropped,"grep 'cap_drop:' -A1 /etc/hermes/config.yaml | grep 'ALL'",Config file screenshot,,Set cap_drop to ALL then add back minimal,DevOps Engineer,
SANDBOX-06,CPU limits set,"grep 'cpus:' /etc/hermes/config.yaml",Config file screenshot,,Set cpus to 1.0 or lower,DevOps Engineer,
SANDBOX-07,Memory limits set,"grep 'memory:' /etc/hermes/config.yaml",Config file screenshot,,Set memory to 512m or lower,DevOps Engineer,
SANDBOX-08,PIDs limit set,"grep 'pids_limit:' /etc/hermes/config.yaml",Config file screenshot,,Set pids_limit to 100,DevOps Engineer,
SANDBOX-09,Non-root user,"grep 'run_as_user:' /etc/hermes/config.yaml",Config file screenshot,,Set run_as_user to sandbox_runner (UID 1001+),DevOps Engineer,
SANDBOX-10,Auto-remove container,"grep 'auto_remove: true' /etc/hermes/config.yaml",Config file screenshot,,Set terminal.docker.auto_remove to true,DevOps Engineer,
CREDENTIAL MASKING,,,,,,,
MASK-01,API keys masked,"grep 'OPENAI_API_KEY' /etc/hermes/config.yaml",Config file screenshot,,Add all API keys to env.mask list,Security Engineer,
MASK-02,Database URLs masked,"grep 'DATABASE_URL' /etc/hermes/config.yaml",Config file screenshot,,Add database URLs to env.mask list,Security Engineer,
MASK-03,JWT secrets masked,"grep 'JWT_SECRET' /etc/hermes/config.yaml",Config file screenshot,,Add JWT_SECRET to env.mask list,Security Engineer,
MASK-04,Cloud credentials masked,"grep 'AWS_ACCESS_KEY_ID' /etc/hermes/config.yaml",Config file screenshot,,Add cloud credentials to env.mask list,Security Engineer,
MASK-05,Payment keys masked,"grep 'STRIPE_SECRET_KEY' /etc/hermes/config.yaml",Config file screenshot,,Add payment keys to env.mask list,Security Engineer,
MASK-06,SSH keys masked,"grep 'SSH_PRIVATE_KEY' /etc/hermes/config.yaml",Config file screenshot,,Add SSH keys to env.mask list,Security Engineer,
MASK-07,Output scanning enabled,"grep 'scan_outputs: true' /etc/hermes/config.yaml",Config file screenshot,,Set env.scan_outputs to true,Security Engineer,
MASK-08,Block on detection,"grep 'block_on_detection: true' /etc/hermes/config.yaml",Config file screenshot,,Set env.block_on_detection to true,Security Engineer,
SESSION ISOLATION,,,,,,,
SESS-01,Strict isolation mode,"grep 'isolation: strict' /etc/hermes/config.yaml",Config file screenshot,,Set sessions.isolation to strict,Security Engineer,
SESS-02,Max session duration,"grep 'max_duration:' /etc/hermes/config.yaml",Config file screenshot,,Set max_duration to 3600 seconds,Security Engineer,
SESS-03,Idle timeout,"grep 'idle_timeout:' /etc/hermes/config.yaml",Config file screenshot,,Set idle_timeout to 300 seconds,Security Engineer,
SESS-04,Max concurrent sessions,"grep 'max_concurrent:' /etc/hermes/config.yaml",Config file screenshot,,Set max_concurrent to 3,Security Engineer,
SESS-05,No cross-session history,"grep 'cross_session_access: false' /etc/hermes/config.yaml",Config file screenshot,,Set history.cross_session_access to false,Security Engineer,
SESS-06,No history persistence,"grep 'persist: false' /etc/hermes/config.yaml",Config file screenshot,,Set history.persist to false,Security Engineer,
PROMPT INJECTION DEFENSE,,,,,,,
INJ-01,Input scanning enabled,"grep 'scan_inputs: true' /etc/hermes/config.yaml",Config file screenshot,,Set context.scan_inputs to true,Security Engineer,
INJ-02,Scanner model configured,"grep 'scanner_model:' /etc/hermes/config.yaml",Config file screenshot,,Set scanner_model to llamaguard-3b or better,Security Engineer,
INJ-03,Scanner threshold set,"grep 'scanner_threshold:' /etc/hermes/config.yaml",Config file screenshot,,Set scanner_threshold to 0.7,Security Engineer,
INJ-04,System prompt protection,"grep 'protect_first_system: true' /etc/hermes/config.yaml",Config file screenshot,,Set context.protect_first_system to true,Security Engineer,
INJ-05,Injection signatures loaded,"grep 'injection_signatures:' /etc/hermes/config.yaml",Config file screenshot,,Verify 7+ regex signatures configured,Security Engineer,
INJ-06,Behavioral detection enabled,"grep 'behavioral_detection.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set behavioral_detection.enabled to true,Security Engineer,
INJ-07,Block and alert on detection,"grep 'block_and_alert' /etc/hermes/config.yaml",Config file screenshot,,Set on_detection.action to block_and_alert,Security Engineer,
OUTPUT SANITIZATION,,,,,,,
OUT-01,HTML sanitization enabled,"grep 'sanitize_html: true' /etc/hermes/config.yaml",Config file screenshot,,Set output.sanitize_html to true,Security Engineer,
OUT-02,DLP enabled,"grep 'dlp.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set output.dlp.enabled to true,Security Engineer,
OUT-03,PII categories configured,"grep 'scan_for:' /etc/hermes/config.yaml",Config file screenshot,,Verify PAN SSN EMAIL PHONE API_KEY in scan_for,Security Engineer,
OUT-04,URL validation enabled,"grep 'url_validation.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set output.url_validation.enabled to true,Security Engineer,
OUT-05,SSRF protection (metadata blocked),"grep '169.254.169.254' /etc/hermes/config.yaml",Config file screenshot,,Verify cloud metadata endpoints blocked,Security Engineer,
DIRECTORY TRAVERSAL,,,,,,,
DIR-01,Allowed paths defined,"grep 'allowed_paths:' /etc/hermes/config.yaml",Config file screenshot,,Define 3+ allowed paths with access levels,Security Engineer,
DIR-02,Blocked paths defined,"grep 'blocked_paths:' /etc/hermes/config.yaml",Config file screenshot,,Add /etc/passwd /etc/shadow /root to blocked,Security Engineer,
DIR-03,Traversal detection enabled,"grep 'traversal_detection.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set folders.traversal_detection.enabled to true,Security Engineer,
DIR-04,File extension allowlist,"grep 'allowed_extensions:' /etc/hermes/config.yaml",Config file screenshot,,Define allowed file extensions,Security Engineer,
DIR-05,Dangerous extensions blocked,"grep 'blocked_extensions:' /etc/hermes/config.yaml",Config file screenshot,,Add exe dll so bat ps1 to blocked,Security Engineer,
RATE LIMITING,,,,,,,
RATE-01,Rate limiting enabled,"grep 'rate_limiting.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set rate_limiting.enabled to true,Security Engineer,
RATE-02,Per-user limits set,"grep 'per_user:' /etc/hermes/config.yaml",Config file screenshot,,Set requests_per_minute to 20,Security Engineer,
RATE-03,Per-session limits set,"grep 'per_session:' /etc/hermes/config.yaml",Config file screenshot,,Set max_tool_calls to 50,Security Engineer,
RATE-04,Per-IP limits set,"grep 'per_ip:' /etc/hermes/config.yaml",Config file screenshot,,Set requests_per_minute to 10,Security Engineer,
RATE-05,Alert at 80% threshold,"grep 'alert_at_threshold: 0.8' /etc/hermes/config.yaml",Config file screenshot,,Set alert_at_threshold to 0.8,Security Engineer,
SUPPLY CHAIN SECURITY,,,,,,,
SC-01,Pre-install scan enabled,"grep 'pre_install_scan: true' /etc/hermes/config.yaml",Config file screenshot,,Set skills.pre_install_scan to true,Security Engineer,
SC-02,SBOM required,"grep 'sbom.required: true' /etc/hermes/config.yaml",Config file screenshot,,Set skills.sbom.required to true,Security Engineer,
SC-03,Signature verification required,"grep 'signatures.required: true' /etc/hermes/config.yaml",Config file screenshot,,Set skills.signatures.required to true,Security Engineer,
SC-04,Scanner severity threshold,"grep 'severity_threshold: HIGH' /etc/hermes/config.yaml",Config file screenshot,,Set scanner.severity_threshold to HIGH,Security Engineer,
SC-05,Dependency pinning,"grep 'pin_dependencies: true' /etc/hermes/config.yaml",Config file screenshot,,Set skills.pin_dependencies to true,Security Engineer,
MODEL SECURITY,,,,,,,
MOD-01,Model version pinned,"grep 'model:' /etc/hermes/config.yaml",Config file screenshot,,Pin to exact dated version (e.g. claude-3-5-sonnet-20241022),Security Engineer,
MOD-02,Model checksum configured,"grep 'checksum:' /etc/hermes/config.yaml",Config file screenshot,,Add sha256 checksum for model weights,Security Engineer,
MOD-03,No auto-rotation,"grep 'auto_rotate: false' /etc/hermes/config.yaml",Config file screenshot,,Set model.primary.auto_rotate to false,Security Engineer,
MOD-04,Fallback model configured,"grep 'fallback:' /etc/hermes/config.yaml",Config file screenshot,,Configure fallback model with checksum,Security Engineer,
MOD-05,Model auth required,"grep 'require_auth: true' /etc/hermes/config.yaml",Config file screenshot,,Set model.access.require_auth to true,Security Engineer,
AUDIT LOGGING,,,,,,,
LOG-01,Logging enabled,"grep 'logging.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set logging.enabled to true,Security Engineer,
LOG-02,JSON format to stdout,"grep 'format: json' /etc/hermes/config.yaml",Config file screenshot,,Configure stdout output with json format,DevOps Engineer,
LOG-03,File logging configured,"grep 'type: file' /etc/hermes/config.yaml",Config file screenshot,,Configure file output with rotation,DevOps Engineer,
LOG-04,Immutable logging enabled,"grep 'immutable.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set logging.immutable.enabled to true,Security Engineer,
LOG-05,Alert channels configured,"grep 'alerts.channels:' /etc/hermes/config.yaml",Config file screenshot,,Configure email slack and pagerduty channels,Security Engineer,
LOG-06,Alert rules defined,"grep 'alert.rules:' /etc/hermes/config.yaml",Config file screenshot,,Define rules for injection command_block secret_detect,Security Engineer,
INCIDENT RESPONSE,,,,,,,
IR-01,Response plan defined,"grep 'response_plan:' /etc/hermes/config.yaml",Config file screenshot,,Set incidents.response_plan path,Security Engineer,
IR-02,Auto-response for injection,"grep 'block_and_isolate' /etc/hermes/config.yaml",Config file screenshot,,Set auto_response.prompt_injection.action to block_and_isolate,Security Engineer,
IR-03,Secret leak response,"grep 'block_and_alert' /etc/hermes/config.yaml",Config file screenshot,,Set auto_response.secret_leak.action to block_and_alert,Security Engineer,
IR-04,Evidence preservation,"grep 'evidence.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set incidents.evidence.enabled to true,Security Engineer,
IR-05,Escalation chain defined,"grep 'escalation.levels:' /etc/hermes/config.yaml",Config file screenshot,,Define 3 escalation levels with contacts,Security Engineer,
GOVERNANCE,,,,,,,
GOV-01,Accountable officer defined,"grep 'accountable_offer:' /etc/hermes/config.yaml",Config file screenshot,,Set compliance.accountable_offer email,Compliance Officer,
GOV-02,Roles defined,"grep 'roles:' /etc/hermes/config.yaml",Config file screenshot,,Define safety_officer developer_lead compliance_officer,Compliance Officer,
GOV-03,Risk register enabled,"grep 'risk_register.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set compliance.risk_register.enabled to true,Compliance Officer,
GOV-04,EU conformity declaration,"grep 'conformity_declaration: completed' /etc/hermes/config.yaml",Config file screenshot,,Set eu_ai_act.conformity_declaration to completed,Compliance Officer,
GOV-05,Post-market monitoring,"grep 'post_market.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set compliance.post_market.enabled to true,Compliance Officer,
PII DETECTION,,,,,,,
PII-01,PII detection enabled,"grep 'pii_detection.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set pii_detection.enabled to true,Security Engineer,
PII-02,Email pattern configured,"grep 'email' /etc/hermes/config.yaml",Config file screenshot,,Add email regex to pii_detection.engines,Security Engineer,
PII-03,SSN pattern configured,"regex: ssn_us" /etc/hermes/config.yaml",Config file screenshot,,Add SSN regex to pii_detection.engines,Security Engineer,
PII-04,Credit card pattern configured,"grep 'credit_card' /etc/hermes/config.yaml",Config file screenshot,,Add credit card regex to pii_detection.engines,Security Engineer,
PII-05,DPO notification,"grep 'notify_dpo: true' /etc/hermes/config.yaml",Config file screenshot,,Set pii_detection.on_detection.notify_dpo to true,Security Engineer,
NETWORK SECURITY,,,,,,,
NET-01,Default deny policy,"grep 'default_policy: deny' /etc/hermes/config.yaml",Config file screenshot,,Set network.default_policy to deny,Network Engineer,
NET-02,Endpoint allowlist defined,"grep 'allowlist:' /etc/hermes/config.yaml",Config file screenshot,,Define 5+ allowed endpoints with ports,Network Engineer,
NET-03,DNS over TLS,"grep 'use_dot: true' /etc/hermes/config.yaml",Config file screenshot,,Set network.dns.use_dot to true,Network Engineer,
NET-04,TLS 1.2 minimum,"grep 'min_version: 1.2' /etc/hermes/config.yaml",Config file screenshot,,Set network.tls.min_version to 1.2,Network Engineer,
NET-05,Certificate verification,"grep 'verify_certificates: true' /etc/hermes/config.yaml",Config file screenshot,,Set network.tls.verify_certificates to true,Network Engineer,
CONTINUOUS MONITORING,,,,,,,
MON-01,Continuous monitoring enabled,"grep 'continuous_monitoring.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set continuous_monitoring.enabled to true,DevOps Engineer,
MON-02,Weekly reassessment,"grep 'frequency: weekly' /etc/hermes/config.yaml",Config file screenshot,,Set reassessment.frequency to weekly,DevOps Engineer,
MON-03,Drift detection enabled,"grep 'drift_detection.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set continuous_monitoring.drift_detection.enabled to true,DevOps Engineer,
MON-04,Regulatory update checks,"grep 'regulatory_updates.enabled: true' /etc/hermes/config.yaml",Config file screenshot,,Set continuous_monitoring.regulatory_updates.enabled to true,Compliance Officer,
MON-05,Score drop alerts,"grep 'notify_on_score_drop: true' /etc/hermes/config.yaml",Config file screenshot,,Set reassessment.notify_on_score_drop to true,DevOps Engineer,
FRAMEWORK MAPPING SUMMARY,,,,,,,
OWASP-LLM01,Prompt Injection,Verify INJ-01 through INJ-07,Checklist rows INJ-01 to INJ-07,,Remediate any failed INJ controls,Security Engineer,
OWASP-LLM02,Insecure Output Handling,Verify OUT-01 through OUT-05,Checklist rows OUT-01 to OUT-05,,Remediate any failed OUT controls,Security Engineer,
OWASP-LLM03,Training Data Poisoning,Verify SC-01 through SC-05,Checklist rows SC-01 to SC-05,,Remediate any failed SC controls,Security Engineer,
OWASP-LLM04,Model Denial of Service,Verify RATE-01 through RATE-05,Checklist rows RATE-01 to RATE-05,,Remediate any failed RATE controls,Security Engineer,
OWASP-LLM05,Supply Chain Vulnerabilities,Verify SC-01 through SC-05,Checklist rows SC-01 to SC-05,,Remediate any failed SC controls,Security Engineer,
OWASP-LLM06,Sensitive Information Disclosure,Verify MASK-01 through MASK-08,Checklist rows MASK-01 to MASK-08,,Remediate any failed MASK controls,Security Engineer,
OWASP-LLM07,Insecure Plugin/Tool Design,Verify SC-01 through SC-05,Checklist rows SC-01 to SC-05,,Remediate any failed SC controls,Security Engineer,
OWASP-LLM08,Excessive Agency,Verify HITL-01 through HITL-05,Checklist rows HITL-01 to HITL-05,,Remediate any failed HITL controls,Security Engineer,
OWASP-LLM09,Overreliance,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Security Engineer,
OWASP-LLM10,Model Theft,Verify MOD-01 through MOD-05,Checklist rows MOD-01 to MOD-05,,Remediate any failed MOD controls,Security Engineer,
OWASP-ASI01,Prompt Injection (Agent),Verify INJ-01 through INJ-07,Checklist rows INJ-01 to INJ-07,,Remediate any failed INJ controls,Security Engineer,
OWASP-ASI02,Broken Authentication,Verify SESS-01 through SESS-06,Checklist rows SESS-01 to SESS-06,,Remediate any failed SESS controls,Security Engineer,
OWASP-ASI03,Tool Misuse,Verify CMD-01 through CMD-10,Checklist rows CMD-01 to CMD-10,,Remediate any failed CMD controls,Security Engineer,
OWASP-ASI04,Broken Access Control,Verify DIR-01 through DIR-05,Checklist rows DIR-01 to DIR-05,,Remediate any failed DIR controls,Security Engineer,
OWASP-ASI05,Code Execution,Verify SANDBOX-01 through SANDBOX-10,Checklist rows SANDBOX-01 to SANDBOX-10,,Remediate any failed SANDBOX controls,Security Engineer,
OWASP-ASI06,Supply Chain,Verify SC-01 through SC-05,Checklist rows SC-01 to SC-05,,Remediate any failed SC controls,Security Engineer,
OWASP-ASI07,Data Leakage,Verify MASK-01 through MASK-08,Checklist rows MASK-01 to MASK-08,,Remediate any failed MASK controls,Security Engineer,
OWASP-ASI08,Context Poisoning,Verify MOD-01 through MOD-05,Checklist rows MOD-01 to MOD-05,,Remediate any failed MOD controls,Security Engineer,
OWASP-ASI09,Availability,Verify RATE-01 through RATE-05,Checklist rows RATE-01 to RATE-05,,Remediate any failed RATE controls,Security Engineer,
OWASP-ASI10,Autonomy Risks,Verify HITL-01 through HITL-05,Checklist rows HITL-01 to HITL-05,,Remediate any failed HITL controls,Security Engineer,
EU-Art.8,Compliance with high-risk requirements,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.9,Risk management system,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.10,Data and data governance,Verify PII-01 through PII-05,Checklist rows PII-01 to PII-05,,Remediate any failed PII controls,Compliance Officer,
EU-Art.11,Technical documentation,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.12,Record-keeping,Verify LOG-01 through LOG-06,Checklist rows LOG-01 to LOG-06,,Remediate any failed LOG controls,Compliance Officer,
EU-Art.13,Transparency and provision of information,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.14,Human oversight,Verify HITL-01 through HITL-05,Checklist rows HITL-01 to HITL-05,,Remediate any failed HITL controls,Compliance Officer,
EU-Art.15,Accuracy robustness and cybersecurity,Verify SANDBOX-01 through SANDBOX-10,Checklist rows SANDBOX-01 to SANDBOX-10,,Remediate any failed SANDBOX controls,Compliance Officer,
EU-Art.16,Conformity assessment,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.17,Quality management system,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.18,Technical documentation obligations,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.53,Fundamental rights impact assessment,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
EU-Art.72,Post-market monitoring,Verify MON-01 through MON-05,Checklist rows MON-01 to MON-05,,Remediate any failed MON controls,Compliance Officer,
NIST-GOV-1,Policies for AI risk management,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-GOV-2,Accountability and roles defined,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-GOV-3,Workforce AI risk training,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-GOV-4,AI risk in enterprise risk management,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-GOV-5,Data collection and management policies,Verify PII-01 through PII-05,Checklist rows PII-01 to PII-05,,Remediate any failed PII controls,Compliance Officer,
NIST-GOV-6,AI risk management accountability structures,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MAP-1,AI system context and purpose documented,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MAP-2,AI system risk impacts identified,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MAP-3,Trustworthiness characteristics mapped,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MAP-4,Risk likelihood and severity assessed,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MAP-5,Risk prioritization established,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MAP-6,AI system boundaries and limitations defined,Verify GOV-01 through GOV-05,Checklist rows GOV-01 to GOV-05,,Remediate any failed GOV controls,Compliance Officer,
NIST-MEAS-1,AI risk metrics and measurement methods,Verify MON-01 through MON-05,Checklist rows MON-01 to MON-05,,Remediate any failed MON controls,Compliance Officer,
NIST-MEAS-2,AI system trustworthiness testing,Verify RATE-01 through RATE-05,Checklist rows RATE-01 to RATE-05,,Remediate any failed RATE controls,Compliance Officer,
NIST-MEAS-3,AI system security and privacy testing,Verify INJ-01 through INJ-07,Checklist rows INJ-01 to INJ-07,,Remediate any failed INJ controls,Compliance Officer,
NIST-MEAS-4,AI risk monitoring and review,Verify MON-01 through MON-05,Checklist rows MON-01 to MON-05,,Remediate any failed MON controls,Compliance Officer,
NIST-MEAS-5,Feedback mechanisms for AI risk events,Verify LOG-01 through LOG-06,Checklist rows LOG-01 to LOG-06,,Remediate any failed LOG controls,Compliance Officer,
NIST-MEAS-6,AI impact evaluation methods,Verify MON-01 through MON-05,Checklist rows MON-01 to MON-05,,Remediate any failed MON controls,Compliance Officer,
NIST-MEAS-7,AI risk management outcomes tracked,Verify LOG-01 through LOG-06,Checklist rows LOG-01 to LOG-06,,Remediate any failed LOG controls,Compliance Officer,
NIST-MGMT-1,AI risk response plans implemented,Verify IR-01 through IR-05,Checklist rows IR-01 to IR-05,,Remediate any failed IR controls,Compliance Officer,
NIST-MGMT-2,AI risk mitigation outcomes monitored,Verify MON-01 through MON-05,Checklist rows MON-01 to MON-05,,Remediate any failed MON controls,Compliance Officer,
NIST-MGMT-3,AI incident response procedures,Verify IR-01 through IR-05,Checklist rows IR-01 to IR-05,,Remediate any failed IR controls,Compliance Officer,
NIST-MGMT-4,Continuous improvement processes,Verify MON-01 through MON-05,Checklist rows MON-01 to MON-05,,Remediate any failed MON controls,Compliance Officer,
MSFT-01,PyRIT red teaming,Verify INJ-01 through INJ-07,Checklist rows INJ-01 to INJ-07,,Remediate any failed INJ controls,Security Engineer,
MSFT-02,Azure Content Safety,Verify OUT-01 through OUT-05,Checklist rows OUT-01 to OUT-05,,Remediate any failed OUT controls,Security Engineer,
MSFT-03,Azure Telemetry and Defender,Verify LOG-01 through LOG-06,Checklist rows LOG-01 to LOG-06,,Remediate any failed LOG controls,Security Engineer,
NV-01,NVIDIA NIM isolation,Verify SANDBOX-01 through SANDBOX-10,Checklist rows SANDBOX-01 to SANDBOX-10,,Remediate any failed SANDBOX controls,Security Engineer,
NV-02,OpenShell and Morpheus,Verify NET-01 through NET-05,Checklist rows NET-01 to NET-05,,Remediate any failed NET controls,Security Engineer,
NV-03,GitOps and NeMo Guardrails,Verify SC-01 through SC-05,Checklist rows SC-01 to SC-05,,Remediate any failed SC controls,Security Engineer,
